id	selected_letter	surface	status	source	notes
s-base-sypky-y	s	sypký	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-syrovnik-y	s	syrovník	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-sysel-y	s	syseľ	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-syty-y	s	sýty	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-nasytit-y	s	nasýtiť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-nenasytny-y	s	nenásytný	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-vysychat-y	s	vysychať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vy-y	v	vy	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vykat-y	v	vykať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vydra-y	v	vydra	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vyhna-y	v	vyhňa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vyskat-y	v	výskať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vyskot-y	v	výskot	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vysoky-y	v	vysoký	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vyska-y	v	výška	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vysina-y	v	výšina	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vysehrad-y	v	Vyšehrad	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vyse-y	v	vyše	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vyt-y	v	vyť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-zavyjat-y	v	zavýjať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-vyzla-y	v	vyžla	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-zvysit-sa-y	v	zvýšiť sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-zvysovat-y	v	zvyšovať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-zvysok-y	v	zvyšok	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-zvyk-y	v	zvyk	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-zvykat-y	v	zvykať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-zvyknut-y	v	zvyknúť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-zvycajny-y	v	zvyčajný	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
v-base-navyk-y	v	návyk	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
z-base-jazyk-y	z	jazyk	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
z-base-jazycny-y	z	jazyčný	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
z-base-jazycnica-y	z	jazyčnica	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
z-base-nazyvat-y	z	nazývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
z-base-pozyvat-y	z	pozývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
z-base-vyzyvat-y	z	vyzývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
z-base-prezyvat-y	z	prezývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
z-base-vzyvat-y	z	vzývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
z-base-ozyvat-sa-y	z	ozývať sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
z-base-prizyvat-y	z	prizývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
